14.53216589	0.4374522998
14.41851503	0.4700630535
14.33129466	0.5033140612
14.26511478	0.5371823457
14.20920837	0.5751327403
14.16457254	0.6136862725
14.13240621	0.6527875403
14.1045414	0.695831456
14.08338349	0.7394447828
14.06900928	0.7841331854
14.05839293	0.8319760456
14.05042514	0.8800727121
14.04437449	0.9304142763
14.03995847	0.9821008313
14.03623579	1.034385723
14.03348161	1.089019464
14.02857426	1.143289303
14.02400064	1.199890278
14.01653223	1.255962634
14.00694683	1.313391181
13.99463251	1.370301882
13.98040865	1.427879195
13.96173358	1.484590863
13.94145052	1.54148124
13.91702676	1.596941876
13.88819412	1.652233749
13.85603763	1.705650847
13.82027763	1.758234768
13.78149546	1.808865699
13.73841358	1.857778188
13.69204466	1.904841522
13.64271756	1.949501451
13.58985553	1.992364544
13.53425172	2.032710034
13.47555715	2.070647369
13.4141982	2.10636345
13.35118404	2.139520005
13.28550071	2.170277267
13.21801964	2.198737045
13.14906131	2.224766996
13.07861402	2.24849159
13.00667531	2.270077322
12.93405996	2.289463296
12.86042386	2.306752406
12.7861239	2.322112368
12.71145248	2.335581325
12.63666235	2.34723949
12.56148383	2.357190627
12.48614649	2.365564805
12.41067519	2.372420275
12.3358084	2.377847111
12.26127664	2.381942263
12.18689741	2.384792071
12.11286222	2.38647724
